tau, beta, Energy Variance after Cyclic Protocol 
100.0,0.2656087782946686,7.465064957565829e-17
100.0,0.2782559402207124,9.198559266059264e-17
100.0,0.29150530628251764,1.0046979601647466e-16
100.0,0.30538555088334157,9.384273538190439e-17
100.0,0.3199267137797383,8.435454336517012e-17
100.0,0.3351602650938842,8.425829057712503e-17
100.0,0.35111917342151316,1.0124950858737891e-16
100.0,0.3678379771828633,1.3178345206708626e-16
100.0,0.38535285937105296,1.5726858119406241e-16
100.0,0.40370172585965547,1.6663208985610812e-16
100.0,0.42292428743894983,1.6137473480559216e-16
100.0,0.44306214575838804,1.7016354984912687e-16
100.0,0.4641588833612779,3.03184450851345e-16
100.0,0.4862601580065353,9.254092519178306e-16
100.0,0.509413801481638,3.4875200035611985e-15
100.0,0.533669923120631,1.3603265486808326e-14
100.0,0.5590810182512224,6.344640042057852e-14
100.0,0.5857020818056666,2.470934542447285e-13
100.0,0.6135907273413173,8.940332509353918e-13
100.0,0.6428073117284321,2.956781301686298e-12
100.0,0.6734150657750821,1.270388632222519e-11
100.0,0.7054802310718643,3.3584825209727594e-11
100.0,0.7390722033525778,1.076643221435778e-10
100.0,0.7742636826811271,2.903219701868391e-10
100.0,0.8111308307896871,6.946820994852212e-10
100.0,0.8497534359086443,1.7257837856824964e-09
100.0,0.8902150854450386,4.806803293181411e-09
100.0,0.9326033468832199,1.3273097275028635e-08
100.0,0.9770099572992252,3.0213778745339744e-08
100.0,1.0235310218990261,7.487251391124471e-08
100.0,1.0722672220103233,1.3958867067494477e-07
100.0,1.1233240329780274,2.837871134712815e-07
100.0,1.1768119524349985,3.740344424039925e-07
100.0,1.2328467394420661,9.526633104297487e-07
100.0,1.2915496650148839,1.7711840130192675e-06
100.0,1.353047774579807,3.1341002734338035e-06
100.0,1.4174741629268053,4.386532083299617e-06
100.0,1.484968262254465,6.934077078843056e-06
100.0,1.5556761439304718,1.2193006077697219e-05
100.0,1.6297508346206442,1.4673588682586298e-05
100.0,1.7073526474706906,2.8361087841096764e-05
100.0,1.788649529057435,3.94260962381486e-05
100.0,1.8738174228603839,6.155779761929794e-05
100.0,1.9630406500402708,7.67587172936191e-05
100.0,2.0565123083486516,0.00011907456512083979
100.0,2.154434690031884,0.00016792208257850768
100.0,2.25701971963392,0.0003372272366054299
100.0,2.3644894126454075,0.00037964725903231436
100.0,2.4770763559917106,0.000554953120095058
100.0,2.595024211399736,0.0008645033271064039
100.0,2.718588242732941,0.0011705987608362262
100.0,2.8480358684358014,0.0011140832492789574
100.0,2.9836472402833394,0.0015549470986775155
100.0,3.1257158496882362,0.002098731073175982
100.0,3.2745491628777286,0.0025958299476049836
100.0,3.4304692863149184,0.0034325492120171547
100.0,3.5938136638046276,0.004476065393582518
100.0,3.7649358067924683,0.004868565738648951
100.0,3.944206059437655,0.005409706206904101
100.0,4.132012400115337,0.0060567554418874655
100.0,4.328761281083058,0.007051382582103291
100.0,4.534878508128582,0.008072055374522977
100.0,4.7508101621027965,0.010585963898234615
100.0,4.977023564332112,0.010347330572823256
100.0,5.214008287999684,0.009817754029277965
100.0,5.462277217684341,0.012069157680350807
100.0,5.722367659350217,0.012461965542791748
100.0,5.99484250318941,0.01345272127654527
100.0,6.280291441834253,0.012580719913238458
100.0,6.579332246575681,0.014358332987583192
100.0,6.892612104349697,0.014917625890612797
100.0,7.220809018385464,0.016835972034495206
100.0,7.564633275546289,0.01651385117767747
100.0,7.924828983539173,0.019994242838609025
100.0,8.302175681319746,0.021377747263040685
100.0,8.697490026177835,0.021295273457209808
100.0,9.111627561154892,0.020052913682543243
100.0,9.54548456661834,0.023640046594491246
100.0,10.0,0.021499229307198872
1000.0,0.1,3.7976888848707134e-16
1000.0,0.10476157527896648,3.197151996193902e-16
1000.0,0.10974987654930562,2.871847602505601e-16
1000.0,0.11497569953977356,2.6731733974553527e-16
1000.0,0.12045035402587821,2.5935357306998835e-16
1000.0,0.12618568830660204,2.459444647122165e-16
1000.0,0.1321941148466029,2.4641706174435014e-16
1000.0,0.1384886371393873,2.539837606077731e-16
1000.0,0.14508287784959398,2.3730357978399635e-16
1000.0,0.15199110829529336,2.1067061185712897e-16
1000.0,0.1592282793341092,2.33901441643201e-16
1000.0,0.16681005372000587,2.3913504953014126e-16
1000.0,0.17475284000076838,2.4691109253874786e-16
1000.0,0.18307382802953684,2.80121735542802e-16
1000.0,0.19179102616724888,3.450137810729287e-16
1000.0,0.20092330025650468,2.9007635048956805e-16
1000.0,0.21049041445120203,2.630845881123036e-16
1000.0,0.22051307399030456,2.968796154876298e-16
1000.0,0.23101297000831597,3.0425609357287795e-16
1000.0,0.24201282647943823,3.484517325707249e-16
1000.0,0.2535364493970112,3.298264165591777e-16
1000.0,0.2656087782946686,3.614159613309169e-16
1000.0,0.2782559402207124,3.7229749565695253e-16
1000.0,0.29150530628251764,3.8735615005061593e-16
1000.0,0.30538555088334157,4.0549630856625197e-16
